"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Matt Gay","K","WAS",147,7.97,0.023,139,161,0.023,0.389,3.41,129,125,107,7,"1",157,1.94,61
"Justin Herbert","QB","LAC",296,14.7,0.486,277,319,0,-0.331,-6.44,130,135,191,13,"5",114,5.93,43
"Javonte Williams","RB","DAL",132,13.5,1.84,115,148,0,10.3,-13.9,130,90,262,35,"10",115,7.62,23
"Ricky Pearsall","WR","SF",166,19.9,2.71,134,201,0,-5.21,1.25,130,168,119,36,"6",92.9,9,64
"Dallas Goedert","TE","PHI",118,13.9,0.553,93.2,136,0,-14.7,-6.3,130,256,188,13,"6",135,3.67,40
"Chris Boswell","K","PIT",147,4.84,0.712,142,154,0,4.15,-3.74,130,103,159,8,"1",139,2.37,58
"Ravens","DST","BAL",94.4,7.55,0.81,86,107,0,0.247,0,130,128,130,3,"2",118,2.1,6
"Myles Garrett","DL","CLE",42.9,4.38,0.964,40.1,46.1,0,0,0.223,130,130,128,10,"3",NA,21.2,19
"Roquan Smith","LB","BAL",89.2,2.69,0.766,87.3,91,0,0,-0.00525,130,130,131,10,"2",NA,46.6,5
"Antoine Winfield","DB","TB",89.6,8.49,0.884,84.1,95.8,0,-0.138,-2.46,130,134,148,10,"3",NA,7.99,25
"Jared Goff","QB","DET",296,21,2.33,274,329,-0.486,-4,4.42,131,155,101,14,"5",99.8,6.03,74
"Kyle Pitts","TE","ATL",117,7.75,0.0588,108,129,-0.553,0,-13.5,132,130,253,14,"6",126,6.11,20
"Colston Loveland","TE","CHI",117,25.5,2.51,71.3,151,-0.612,-36.6,8.62,133,461,85,15,"6",124,5.72,91
"Harrison Butker","K","KC",146,5.83,0.196,138,154,-0.712,-0.106,-3.15,134,132,156,9,"1",152,2.39,16
"Nick Bolton","LB","KC",88.5,5.3,2.33,85.1,92.4,-0.766,-2.19,1.4,135,142,117,11,"3",NA,9.77,41
"Eagles","DST","PHI",93.6,10.4,4.99,78.5,104,-0.81,-7.2,-2.91,136,187,153,4,"3",120,1.63,23
"Calen Bullock","DB","HOU",88.7,5.3,0.672,85.3,92.6,-0.884,1.01,-5.68,137,118,182,11,"3",NA,NA,79
"Tyler Bass","K","BUF",146,8.78,0.177,135,161,-0.908,-2.98,3.78,138,148,106,10,"1",151,1.89,45
"Khalil Mack","DL","LAC",41.9,0.141,0.223,41.8,42,-0.964,1.74,-3.87,139,113,160,11,"3",NA,5.23,1
"Khalil Mack","DL","LAC",41.9,0.141,0.223,41.8,42,-0.964,1.74,-3.87,139,113,160,11,"3",NA,5.23,44
"Evan McPherson","K","CIN",146,7.3,2,139,158,-1.09,0.472,1.1,140,123,123,11,"1",163,1.93,48
"Jeffery Simmons","DL","TEN",41.7,3.54,0.12,39.1,43.9,-1.19,-0.978,-1.92,141,137,145,12,"3",NA,6.53,22
"Josh Allen","DL","JAC",41.6,2.19,0.128,40,43,-1.31,-0.111,-2.9,142,133,152,13,"3",NA,11.6,21
"Josh Allen","DL","JAC",41.6,2.19,0.128,40,43,-1.31,-0.111,-2.9,142,133,152,13,"3",NA,11.6,58
"Harold Landry","DL","NE",41.4,2.19,0.436,40,43,-1.44,-0.0325,-2.82,143,131,151,14,"3",NA,4.01,10
"Harold Landry","DL","NE",41.4,2.19,0.436,40,43,-1.44,-0.0325,-2.82,143,131,151,14,"3",NA,4.01,56
"Camryn Bynum","DB","IND",88,0.919,0.387,87.4,88.7,-1.56,3.15,-9.57,144,106,211,12,"3",NA,NA,14
"Rhamondre Stevenson","RB","NE",131,23.2,10.4,99.7,161,-1.84,-4.53,-1.66,145,161,143,36,"10",109,6.54,56
"Brian Burns","DL","NYG",41,0,0.743,41,41,-1.87,0.935,-4.87,146,119,174,15,"4",NA,8.21,1
"Brian Burns","DL","NYG",41,0,0.743,41,41,-1.87,0.935,-4.87,146,119,174,15,"4",NA,8.21,36
"Coby Bryant","DB","SEA",87.6,33.3,0.445,66.3,112,-1.94,-18,13.8,147,290,74,13,"3",NA,6.29,96
"Brandon Jones","DB","DEN",87.2,14,0.145,78.2,97.5,-2.39,-6.06,-0.793,148,175,138,14,"3",NA,7.75,54
"Jordan Battle","DB","CIN",87,4.31,1.79,84.3,90.2,-2.53,0,-8.06,149,130,201,15,"3",NA,8.54,35
"Danielle Hunter","DL","HOU",40.3,8.77,0.284,33.8,45.9,-2.62,-6.25,0,150,176,130,16,"4",NA,12.1,59
"Danielle Hunter","DL","HOU",40.3,8.77,0.284,33.8,45.9,-2.62,-6.25,0,150,176,130,16,"4",NA,12.1,96
"Jauan Jennings","WR","SF",163,19.6,1.32,135,189,-2.71,-3.78,-10.3,151,152,218,37,"6",110,7.04,54
"Dak Prescott","QB","DAL",294,11.8,3.45,278,311,-2.82,0,-14.4,152,130,268,15,"6",89.2,8.78,51
"Leonard Williams","DL","SEA",40,8.2,0.248,34.7,46,-2.9,-5.34,0.129,153,171,129,17,"4",NA,5.88,64
"Wil Lutz","K","DEN",144,5.16,0.935,139,153,-3.08,0.311,-4.31,154,126,166,12,"1",159,1.55,19
"Kaden Elliss","LB","ATL",86.1,0.212,0.158,86,86.3,-3.1,-1.26,-4.67,155,141,171,12,"3",NA,30.2,3
"Dalton Kincaid","TE","BUF",115,5.06,0.405,108,121,-3.13,0.254,-21.8,156,127,355,16,"6",136,2.89,6
"Trey Hendrickson","DL","CIN",39.7,7.21,0.497,35.1,45,-3.15,-4.96,-0.847,157,164,139,18,"4",NA,11.1,42
"Lavonte David","LB","TB",86,1.56,0.6,84.8,87,-3.26,-2.43,-3.99,158,145,162,13,"3",NA,23.4,7
"Zach Ertz","TE","WAS",114,13.8,2.17,98.8,138,-3.53,-9.18,-4.58,159,205,169,17,"6",142,2.56,49
"Jaelan Phillips","DL","MIA",39.2,5.23,0.175,35.9,43.1,-3.64,-4.19,-2.8,160,158,150,19,"4",NA,7.54,60
"Jaelan Phillips","DL","MIA",39.2,5.23,0.175,35.9,43.1,-3.64,-4.19,-2.8,160,158,150,19,"4",NA,7.54,87
"DeForest Buckner","DL","IND",39.1,10.6,0.273,31.3,45.8,-3.82,-8.81,-0.0273,161,197,132,20,"4",NA,7.82,74
"Jordyn Brooks","LB","MIA",85.4,5.16,0.407,82.1,89.2,-3.86,-5.19,-1.79,162,167,144,14,"3",NA,9.53,36
"Younghoe Koo","K","ATL",143,8.94,0.922,133,156,-4.02,-5.02,-1.09,163,165,140,13,"1",161,1.72,55
"Jakobi Meyers","WR","LVR",162,9.98,2,145,174,-4.03,6.75,-25.2,164,99,399,38,"6",99.9,6.5,11
"Alex Highsmith","DL","PIT",38.8,4.24,0.0486,36.1,41.9,-4.09,-4,-3.97,165,154,161,21,"4",NA,8.26,24
"Alex Highsmith","DL","PIT",38.8,4.24,0.0486,36.1,41.9,-4.09,-4,-3.97,165,154,161,21,"4",NA,8.26,71
"Nick Bosa","DL","SF",38.7,3.46,0.0273,36.2,40.9,-4.14,-3.88,-4.92,166,153,176,22,"4",NA,10.8,9
"Micah Parsons","DL","GB",38.7,1.98,0.552,37.2,40,-4.17,-2.82,-5.9,167,147,185,23,"4",NA,21.1,5
"Micah Parsons","DL","GB",38.7,1.98,0.552,37.2,40,-4.17,-2.82,-5.9,167,147,185,23,"4",NA,21.1,35
"Alex Singleton","LB","DEN",85,4.31,0.0126,81.8,87.7,-4.27,-5.46,-3.23,168,172,157,15,"3",NA,12,31
"Alex Anzalone","LB","DET",85,3.11,0.678,82.7,87,-4.28,-4.59,-4.01,169,162,163,16,"3",NA,6.07,43
"Nick Cross","DB","IND",85.2,7.99,0.166,80.1,91.1,-4.32,-4.15,-7.15,170,157,196,16,"3",NA,8.02,40
"Trevon Moehrig","DB","CAR",85.1,9.26,0.131,79.1,91.9,-4.49,-5.13,-6.38,171,166,190,17,"3",NA,11.1,51
"Byron Murphy","DB","MIN",84.9,6.01,0.27,81.1,89.4,-4.62,-3.17,-8.9,172,149,207,18,"3",NA,5.4,74
"Jermaine Johnson","DL","NYJ",38.2,0.99,0.659,37.4,38.8,-4.72,-2.64,-7.08,173,146,195,24,"4",NA,NA,23
