"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Marcelino McCrary-Ball","LB","NYJ",52.8,NA,1.1,NA,NA,-36.4,NA,NA,604,NA,NA,56,"9",NA,NA,NA
"Tyjae Spears","RB","TEN",95.4,27.1,0.399,54,131,-37.1,-50.3,-31.2,613,502,442,48,"12",143,2.81,85
"Sam Darnold","QB","SEA",259,15.6,5.7,234,281,-37.3,-44.1,-44,617,486,513,26,"8",149,4.65,23
"Rico Dowdle","RB","CAR",95,17.1,0.668,76,127,-37.4,-28.3,-35.4,618,400,470,49,"12",154,2.59,51
"Jeremiah Trotter Jr.","LB","PHI",51.7,NA,0.8,NA,NA,-37.5,NA,NA,619,NA,NA,57,"9",NA,NA,NA
"Tyler Allgeier","RB","ATL",94.3,6.6,1.08,85.8,106,-38.1,-18.5,-56.5,625,297,555,50,"12",150,3.41,4
"Jeremiah Owusu-Koramoah","LB","CLE",50.9,NA,0.26,NA,NA,-38.3,NA,NA,626,NA,NA,58,"9",NA,NA,99
"Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.6,-39.2,-37.4,631,472,484,59,"9",NA,NA,67
"Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.6,-39.2,-37.4,631,472,484,59,"9",NA,NA,62
"James Williams","LB","TEN",50.4,NA,0.105,NA,NA,-38.8,NA,NA,633,NA,NA,60,"9",NA,NA,69
"James Williams","LB","TEN",50.4,NA,0.105,NA,NA,-38.8,NA,NA,633,NA,NA,60,"9",NA,NA,95
"Jaydon Blue","RB","DAL",93.2,27.1,0.168,44.1,126,-39.2,-60.2,-35.9,637,522,474,51,"12",141,4.84,79
"Braelon Allen","RB","NYJ",93,16.5,3.77,70.2,115,-39.4,-34.1,-47.8,639,441,524,52,"12",138,6.71,49
"Darnell Mooney","WR","ATL",127,52.7,2.01,15.2,168,-39.6,-124,-31.7,641,745,448,54,"8",131,3.4,99
"Ja'Tavion Sanders","TE","CAR",77.1,10.1,2.39,64.6,92.1,-40.9,-43.4,-50.7,650,484,531,34,"9",170,2.77,34
"Keenan Allen","WR","LAC",125,24.3,2.23,96.7,156,-41.6,-42,-43.6,653,479,511,55,"8",127,4.61,93
"Cam Ward","QB","TEN",253,24,1.67,217,285,-43,-60.3,-39.8,663,523,499,27,"8",154,6.41,63
"Bhayshul Tuten","RB","JAC",89.3,17.1,1.12,61,116,-43.1,-43.2,-46.6,665,483,519,53,"12",149,3.61,66
"Will Dissly","TE","LAC",74.7,13.6,3.21,51.9,86.6,-43.3,-56.1,-56.2,666,515,554,35,"9",170,1.1,83
"Andre Szmyt","K","CLE",104,18.9,26.8,83,127,-43.4,-55.3,-30.5,667,514,436,32,"6",NA,NA,90
"Xavier Legette","WR","CAR",122,16.3,3.43,95.1,142,-43.8,-43.6,-57.3,670,485,558,56,"8",155,1.33,69
"Brian Robinson","RB","SF",88.2,20.6,0.88,70.1,119,-44.3,-34.1,-43.2,673,442,509,54,"12",118,4.17,75
"Aaron Rodgers","QB","PIT",252,23.3,45.3,232,293,-44.7,-46,-31.6,677,494,447,28,"9",152,9.53,37
"Kareem Hunt","RB","KC",87.3,14.2,5.42,69.5,112,-45.1,-34.7,-49.8,682,450,527,55,"12",148,2.92,45
"Noah Gray","TE","KC",71.5,16.7,0.938,46.8,91.1,-46.5,-61.2,-51.7,691,526,541,36,"10",170,1.8,74
"Cedric Tillman","WR","CLE",119,20,1.41,80.6,136,-47.3,-58.1,-63,697,519,565,57,"8",170,2.93,61
"Wan'Dale Robinson","WR","NYG",118,18.8,0.365,87.1,138,-48.7,-51.6,-61.4,704,509,564,58,"8",165,2.47,75
"Christian Kirk","WR","HOU",117,15.8,1.74,103,143,-49,-35.8,-56.7,707,457,556,59,"9",153,3.47,43
"Dylan Sampson","RB","CLE",81.9,36.8,4.03,18.7,127,-50.6,-85.6,-34.9,712,599,464,56,"13",158,3.27,92
"Demario Douglas","WR","NE",115,16.9,0.617,86.2,135,-50.8,-52.5,-64.6,714,510,570,60,"9",167,1.99,74
"Jayden Higgins","WR","HOU",115,37.6,0.00293,47.4,162,-51.4,-91.3,-37.7,716,615,487,61,"9",142,4.18,94
"Marquise Brown","WR","KC",115,30.1,0.408,56.5,148,-51.4,-82.3,-51.5,717,587,537,62,"9",150,3.01,92
"Jalen Coker","WR","CAR",114,20.1,1.62,91.2,152,-51.8,-47.5,-47.2,719,496,520,63,"9",170,2.68,78
"Romeo Doubs","WR","GB",113,19.6,6.68,90.4,139,-53.4,-48.3,-60.6,727,498,563,64,"9",158,1.73,71
"Justice Hill","RB","BAL",77.8,16.4,3.52,44.2,93.3,-54.6,-60.1,-69,732,521,582,57,"13",173,2.17,65
"Audric Estime","RB","FA",74.3,NA,2.32,NA,NA,-58.1,NA,NA,745,NA,NA,58,"13",NA,NA,99
"Michael Wilson","WR","ARI",106,16.7,2.33,89.6,131,-60.1,-49.2,-68.3,759,500,579,65,"9",182,1.74,79
"Roschon Johnson","RB","CHI",72,11.6,0.193,63.6,94.2,-60.4,-40.6,-68.1,761,476,578,59,"13",173,3.06,39
"Khalil Herbert","RB","FA",71.8,17.2,3.68,60.1,83.7,-60.6,-44.2,-78.6,764,488,601,60,"13",170,0,70
"Adam Thielen","WR","MIN",104,34.7,1.15,68.3,153,-62.4,-70.4,-46.1,772,551,516,66,"9",155,2.81,85
"Quentin Johnston","WR","LAC",103,32.8,2.04,58.8,147,-63.6,-80,-52.6,779,580,545,67,"9",166,2.54,90
"Kendre Miller","RB","NO",68.1,18.3,1.78,46.6,98.6,-64.3,-57.7,-63.7,781,518,567,61,"13",174,3.16,61
"Alec Pierce","WR","IND",101,33.4,0.351,59.1,146,-65.6,-79.6,-53,787,578,548,68,"9",176,1.99,88
"Brandon Aiyuk","WR","SF",100,57.8,0.627,8.16,197,-66,-131,-2.53,788,761,149,69,"9",142,5.43,99
"Jaylen Wright","RB","MIA",66.3,22.8,1.72,35.8,95.3,-66.1,-68.4,-67,789,542,573,62,"13",167,1.88,77
"Luther Burden","WR","CHI",99.6,28.7,0.576,59.3,148,-66.6,-79.4,-51.7,790,576,542,70,"9",157,4.36,81
"Ray-Ray McCloud","WR","ATL",99,23.8,0.0233,60.2,132,-67.2,-78.5,-67.7,792,572,577,71,"9",180,1.94,97
"Tyler Lockett","WR","TEN",99,26.1,0.417,77.8,150,-67.2,-60.9,-49.7,793,524,526,72,"9",177,2.23,89
"Antonio Gibson","RB","NE",64.6,25.9,0.791,26.6,86,-67.8,-77.7,-76.3,795,567,597,63,"13",170,2.21,80
"Ty Johnson","RB","BUF",63.8,18.2,0.512,45.1,92.2,-68.6,-59.2,-70.1,800,520,583,64,"14",170,1.33,68
"Ollie Gordon","RB","MIA",63.3,37.7,0.999,21.9,130,-69.1,-82.3,-32.7,805,588,454,65,"14",153,6.35,94
"Gus Edwards","RB","FA",62.3,NA,0.863,NA,NA,-70.1,NA,NA,810,NA,NA,66,"14",NA,NA,86
"Raheem Mostert","RB","LVR",61.4,24.3,3.85,34.8,105,-71,-69.5,-56.9,821,548,557,67,"14",176,2.15,82
"Blake Corum","RB","LAR",57.6,25.3,0.687,30.7,108,-74.8,-73.6,-54.5,840,558,551,68,"14",181,2.71,76
"Cam Akers","RB","FA",56.9,NA,0.0871,NA,NA,-75.5,NA,NA,843,NA,NA,69,"14",NA,NA,90
"Miles Sanders","RB","DAL",56.8,17.8,1.19,33.3,80.7,-75.6,-71,-81.6,845,553,607,70,"14",192,2.39,62
"Woody Marks","RB","HOU",55.6,32.8,0.009,4.8,105,-76.8,-99.5,-57.6,852,651,560,71,"14",174,3.06,97
"MarShawn Lloyd","RB","GB",55.6,31,0.216,14.8,96,-76.8,-89.4,-66.3,853,610,572,72,"14",162,2.97,89
"Russell Wilson","QB","NYG",206,51.6,3.16,125,265,-89.9,-153,-60,973,796,562,29,"9",144,3.79,80
"Daniel Jones","QB","IND",203,78.9,49.9,52.9,296,-93.1,-225,-28.9,982,797,425,30,"10",150,6.53,89
"Spencer Rattler","QB","NO",153,96.1,6.7,21.6,259,-143,-256,-65.8,1140,800,571,31,"10",172,2.63,94
"Joe Flacco","QB","CLE",147,70.4,24.5,49.8,242,-150,-228,-82.5,1150,798,609,32,"11",166,4.55,83
"Anthony Richardson","QB","IND",122,100,23.3,9.32,274,-174,-268,-50.8,1200,802,532,33,"12",124,5.89,91
"Tyler Shough","QB","NO",98.8,67.4,14.8,1.74,182,-198,-276,-143,1200,812,738,34,"13",174,4.25,86
"Kirk Cousins","QB","ATL",84,107,4.48,0.822,232,-212,-277,-93,1200,816,627,35,"13",149,1.9,97
"Deshaun Watson","QB","CLE",79.5,55.7,27.2,41.4,118,-217,-236,-207,1200,799,804,36,"14",NA,2.28,99
